game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
PAR-BER,26,REGULAR SEASON,False,True,Exum Dante,21:50,6,3,4,0,1,0,0,0,3,3,4,1,2,1,0,2,0,9,1
VIR-PAR,27,REGULAR SEASON,False,True,Exum Dante,28:23,17,6,9,0,2,5,5,3,4,7,7,3,1,0,0,2,7,33,12
PAR-MAD,38,PLAYOFFS,False,True,Exum Dante,23:29,6,1,5,1,6,1,1,0,0,0,3,1,0,1,0,4,2,0,6
PAR-MUN,16,REGULAR SEASON,False,True,Exum Dante,17:41,19,6,9,1,5,4,7,0,0,0,3,0,2,1,1,2,6,14,-10
PAR-PAN,34,REGULAR SEASON,False,True,Exum Dante,27:38,18,3,3,3,3,3,4,0,1,1,4,4,1,0,0,2,4,27,5
MAD-PAR,36,PLAYOFFS,False,True,Exum Dante,25:49,19,3,5,2,7,7,8,1,1,2,2,1,3,0,0,5,5,13,1
PAR-PAM,11,REGULAR SEASON,False,True,Exum Dante,22:30,9,2,3,1,2,2,2,1,1,2,6,0,1,1,0,4,1,12,-1
PAR-ASV,22,REGULAR SEASON,False,True,Exum Dante,20:58,13,5,6,0,0,3,4,0,2,2,1,1,0,0,0,1,6,20,11
PAR-TEL,8,REGULAR SEASON,False,True,Exum Dante,27:31,21,6,7,1,1,6,6,0,4,4,5,2,2,0,1,1,4,31,18
ASV-PAR,13,REGULAR SEASON,True,True,Exum Dante,35:08,26,6,7,2,4,8,8,0,2,2,6,3,3,0,0,4,8,35,-9
RED-PAR,21,REGULAR SEASON,True,True,Exum Dante,30:03,20,4,8,2,6,6,7,2,2,4,5,1,2,0,0,2,5,22,4
MCO-PAR,33,REGULAR SEASON,False,True,Exum Dante,20:13,2,1,4,0,0,0,0,1,2,3,2,2,4,0,1,1,0,0,8
MAD-PAR,35,PLAYOFFS,False,True,Exum Dante,20:11,11,1,2,1,1,6,7,0,3,3,1,0,2,0,1,3,7,14,4
PAM-PAR,20,REGULAR SEASON,False,True,Exum Dante,26:01,22,3,5,3,5,7,10,1,1,2,0,0,2,0,0,3,5,17,-13
TEL-PAR,18,REGULAR SEASON,False,True,Exum Dante,28:41,17,2,5,1,3,10,12,1,2,3,0,0,2,0,0,3,9,17,-9
PAR-BAS,19,REGULAR SEASON,False,True,Exum Dante,16:20,10,1,1,2,3,2,3,0,2,2,2,1,3,0,0,2,1,9,4
MAD-PAR,10,REGULAR SEASON,False,True,Exum Dante,19:51,17,4,7,2,3,3,3,2,2,4,0,0,2,0,0,3,2,14,-14
ZAL-PAR,23,REGULAR SEASON,False,True,Exum Dante,20:20,11,2,3,2,5,1,1,2,1,3,1,1,1,0,0,3,4,12,8
BAR-PAR,9,REGULAR SEASON,False,True,Exum Dante,17:59,6,2,6,0,1,2,2,0,0,0,1,0,1,0,0,4,3,0,-4
PAR-OLY,30,REGULAR SEASON,False,True,Exum Dante,23:57,15,5,8,1,3,2,4,0,1,1,4,3,1,0,1,3,5,16,10
ULK-PAR,15,REGULAR SEASON,True,True,Exum Dante,17:51,10,2,6,0,0,6,6,0,1,1,2,0,2,0,0,5,4,6,4
PAR-MAD,32,REGULAR SEASON,False,True,Exum Dante,23:08,15,3,4,2,4,3,4,1,3,4,3,0,0,0,0,2,2,18,16
MAD-PAR,39,PLAYOFFS,False,True,Exum Dante,22:31,16,2,4,2,6,6,8,0,3,3,1,1,0,0,0,4,5,14,7
